CellID	X Nominal	Y Nominal
A04	34.00	235.80
A06	53.00	235.80
A08	72.00	235.80
A10	91.00	235.80
A12	110.00	235.80
A14	129.00	235.80
A16	148.00	235.80
A18	167.00	235.80
A20	186.00	235.80
A22	205.00	235.80
A24	224.00	235.80
A26	243.00	235.80
A28	262.00	235.80
A30	284.00	235.80
A32	303.00	235.80
A34	325.00	235.80
A36	344.00	235.80
A38	363.00	235.80
A40	382.00	235.80
A42	401.00	235.80
A44	420.00	235.80
A46	439.00	235.80
A48	458.00	235.80
A50	477.00	235.80
A52	496.00	235.80
A54	518.00	235.80
A56	537.00	235.80
A58	556.00	235.80
A60	575.00	235.80
A62	594.00	235.80
A64	613.00	235.80
B05	43.50	219.35
B07	62.50	219.35
B09	81.50	219.35
B11	100.50	219.35
B13	119.50	219.35
B15	138.50	219.35
B17	157.50	219.35
B19	176.50	219.35
B21	195.50	219.35
B23	214.50	219.35
B25	233.50	219.35
B27	252.50	219.35
B29	274.50	219.35
B31	293.50	219.35
B33	315.50	219.35
B35	334.50	219.35
B37	353.50	219.35
B39	372.50	219.35
B41	391.50	219.35
B43	410.50	219.35
B45	429.50	219.35
B47	448.50	219.35
B49	467.50	219.35
B51	486.50	219.35
B53	508.50	219.35
B55	527.50	219.35
B57	546.50	219.35
B59	565.50	219.35
B61	584.50	219.35
B63	603.50	219.35
C02	15.00	198.35
C04	34.00	198.35
C06	53.00	198.35
C08	72.00	198.35
C10	91.00	198.35
C12	110.00	198.35
C14	129.00	198.35
C16	148.00	198.35
C18	167.00	198.35
C20	186.00	198.35
C22	205.00	198.35
C24	224.00	198.35
C26	243.00	198.35
C28	265.00	198.35
C30	284.00	198.35
C32	303.00	198.35
C34	325.00	198.35
C36	344.00	198.35
C38	363.00	198.35
C40	382.00	198.35
C42	401.00	198.35
C44	420.00	198.35
C46	439.00	198.35
C48	458.00	198.35
C50	477.00	198.35
C52	499.00	198.35
C54	518.00	198.35
C56	537.00	198.35
C58	556.00	198.35
C60	575.00	198.35
C62	594.00	198.35
C64	613.00	198.35
D03	24.50	181.89
D05	43.50	181.89
D07	62.50	181.89
D09	81.50	181.89
D11	100.50	181.89
D13	119.50	181.89
D15	138.50	181.89
D17	157.50	181.89
D19	176.50	181.89
D21	195.50	181.89
D23	214.50	181.89
D25	233.50	181.89
D27	255.50	181.89
D29	274.50	181.89
D31	293.50	181.89
D33	315.50	181.89
D35	334.50	181.89
D37	353.50	181.89
D39	372.50	181.89
D41	391.50	181.89
D43	410.50	181.89
D45	429.50	181.89
D47	448.50	181.89
D49	467.50	181.89
D51	489.50	181.89
D53	508.50	181.89
D55	527.50	181.89
D57	546.50	181.89
D59	565.50	181.89
D61	584.50	181.89
D63	603.50	181.89
E02	15.00	160.89
E04	34.00	160.89
E06	53.00	160.89
E08	72.00	160.89
E10	91.00	160.89
E12	110.00	160.89
E14	129.00	160.89
E16	148.00	160.89
E18	167.00	160.89
E20	186.00	160.89
E22	205.00	160.89
E24	224.00	160.89
E26	246.00	160.89
E28	265.00	160.89
E30	284.00	160.89
E32	303.00	160.89
E34	325.00	160.89
E36	344.00	160.89
E38	363.00	160.89
E40	382.00	160.89
E42	401.00	160.89
E44	420.00	160.89
E46	439.00	160.89
E48	458.00	160.89
E50	477.00	160.89
E52	499.00	160.89
E54	518.00	160.89
E56	537.00	160.89
E58	556.00	160.89
E60	575.00	160.89
E62	594.00	160.89
E64	613.00	160.89
F01	5.50	144.44
F03	24.50	144.44
F05	43.50	144.44
F07	62.50	144.44
F09	81.50	144.44
F11	100.50	144.44
F13	119.50	144.44
F15	138.50	144.44
F17	157.50	144.44
F19	176.50	144.44
F21	195.50	144.44
F23	214.50	144.44
F25	236.50	144.44
F27	255.50	144.44
F29	274.50	144.44
F31	293.50	144.44
F33	315.50	144.44
F35	334.50	144.44
F37	353.50	144.44
F39	372.50	144.44
F41	391.50	144.44
F43	410.50	144.44
F45	429.50	144.44
F47	448.50	144.44
F49	467.50	144.44
F51	489.50	144.44
F53	508.50	144.44
F55	527.50	144.44
F57	546.50	144.44
F59	565.50	144.44
F61	584.50	144.44
F63	603.50	144.44
F65	622.50	144.44
G02	15.00	123.44
G04	34.00	123.44
G06	53.00	123.44
G08	72.00	123.44
G10	91.00	123.44
G12	110.00	123.44
G14	129.00	123.44
G16	148.00	123.44
G18	167.00	123.44
G20	186.00	123.44
G22	205.00	123.44
G24	227.00	123.44
G26	246.00	123.44
G28	265.00	123.44
G30	284.00	123.44
G32	303.00	123.44
G34	325.00	123.44
G36	344.00	123.44
G38	363.00	123.44
G40	382.00	123.44
G42	401.00	123.44
G44	420.00	123.44
G46	439.00	123.44
G48	458.00	123.44
G50	480.00	123.44
G52	499.00	123.44
G54	518.00	123.44
G56	537.00	123.44
G58	556.00	123.44
G60	575.00	123.44
G62	594.00	123.44
G64	613.00	123.44
H01	5.50	106.98
H03	24.50	106.98
H05	43.50	106.98
H07	62.50	106.98
H09	81.50	106.98
H11	100.50	106.98
H13	119.50	106.98
H15	138.50	106.98
H17	157.50	106.98
H19	176.50	106.98
H21	195.50	106.98
H23	217.50	106.98
H25	236.50	106.98
H27	255.50	106.98
H29	274.50	106.98
H31	293.50	106.98
H33	315.50	106.98
H35	334.50	106.98
H37	353.50	106.98
H39	372.50	106.98
H41	391.50	106.98
H43	410.50	106.98
H45	429.50	106.98
H47	448.50	106.98
H49	470.50	106.98
H51	489.50	106.98
H53	508.50	106.98
H55	527.50	106.98
H57	546.50	106.98
H59	565.50	106.98
H61	584.50	106.98
H63	603.50	106.98
H65	622.50	106.98
I02	15.00	85.98
I04	34.00	85.98
I06	53.00	85.98
I08	72.00	85.98
I10	91.00	85.98
I12	110.00	85.98
I14	129.00	85.98
I16	148.00	85.98
I18	167.00	85.98
I20	186.00	85.98
I22	208.00	85.98
I24	227.00	85.98
I26	246.00	85.98
I28	265.00	85.98
I30	284.00	85.98
I32	303.00	85.98
I34	325.00	85.98
I36	344.00	85.98
I38	363.00	85.98
I40	382.00	85.98
I42	401.00	85.98
I44	420.00	85.98
